name	Unique Positions	Total Tags
genome	26279159	30051593.0
fragmentLengthEstimate=75		
peakSizeEstimate=75		
tagsPerBP=0.009711		
averageTagsPerPosition=0.728		
medianTagsPerPosition=0		
averageTagLength=68.440		
gsizeEstimate=3094635190		
averageFragmentGCcontent=-1.000		
chr1	2753005	3036061.0
chr2	2186496	2417186.0
chr3	1803388	1835361.0
chr4	1070841	984433.0
chr5	1510400	1728737.0
chr6	1278598	2213473.0
chr7	1620788	1875819.0
chr8	1172797	1259445.0
chr9	1193494	1276142.0
chr10	1330971	1391342.0
chr11	1221250	1618675.0
chr12	1241789	1433016.0
chr13	577571	527749.0
chr14	601532	897605.0
chr15	882697	1004051.0
chr16	886122	855509.0
chr17	1275680	1517497.0
chr18	422381	386256.0
chr19	944844	1058065.0
chr20	700098	723732.0
chr21	296028	287867.0
chr22	526773	606257.0
chrX	667692	792506.0
chrY	59342	48785.0
chrM	42015	257266.0
GL000008.2	82	45.0
GL000009.2	86	51.0
GL000194.1	22	12.0
GL000195.1	4156	2843.0
GL000205.2	726	410.0
GL000208.1	6	3.0
GL000214.1	8	4.0
GL000216.2	36	18.0
GL000218.1	24	12.0
GL000219.1	2099	1215.0
GL000220.1	36	18.0
GL000221.1	67	36.0
GL000224.1	146	73.0
GL000225.1	18	9.0
KI270330.1	2	1.0
KI270333.1	2	1.0
KI270411.1	2	1.0
KI270435.1	6	3.0
KI270438.1	107	55.0
KI270442.1	83	42.0
KI270466.1	52	30.0
KI270467.1	140	79.0
KI270468.1	2	1.0
KI270512.1	2	1.0
KI270519.1	2	1.0
KI270538.1	8	4.0
KI270589.1	2	1.0
KI270706.1	184	98.0
KI270707.1	2	1.0
KI270708.1	10	5.0
KI270709.1	4	2.0
KI270711.1	1030	663.0
KI270712.1	19	10.0
KI270713.1	349	271.0
KI270716.1	6	3.0
KI270717.1	18	9.0
KI270718.1	4	2.0
KI270719.1	16	8.0
KI270720.1	6	3.0
KI270721.1	24	13.0
KI270722.1	4	2.0
KI270723.1	2	1.0
KI270724.1	2	1.0
KI270726.1	2	1.0
KI270727.1	30	15.0
KI270728.1	10	5.0
KI270729.1	93	49.0
KI270730.1	16	8.0
KI270731.1	19	11.0
KI270733.1	2049	12192.0
KI270734.1	123	67.0
KI270736.1	32	16.0
KI270737.1	4	2.0
KI270738.1	4	2.0
KI270740.1	2	1.0
KI270741.1	20	10.0
KI270742.1	115	58.0
KI270743.1	63	32.0
KI270744.1	331	202.0
KI270745.1	6	3.0
KI270746.1	2	1.0
KI270747.1	6	3.0
KI270748.1	2	1.0
KI270749.1	6	3.0
KI270750.1	6	3.0
KI270751.1	12	6.0
KI270754.1	2	1.0
KI270756.1	6	3.0
KI270757.1	4	2.0
cmd=makeTagDirectory stranded/ARTDeco_output/preprocess_files/SRR7537192_sorted stranded/bams/artdeco_input/SRR7537192_sorted.bam -sspe		
