Gene ID	Transcript ID	SRR7537187_sorted log2Ratio Read-In vs. Gene	SRR7537187_sorted Assignment	SRR7537190_sorted log2Ratio Read-In vs. Gene	SRR7537190_sorted Assignment	SRR7537192_sorted log2Ratio Read-In vs. Gene	SRR7537192_sorted Assignment
ENSG00000000003.14	ENST00000612152.4	5.9363666322712465	N/A	5.318269882427309	N/A	2.1125918263763603	N/A
ENSG00000000005.6	ENST00000373031.5	0.1884029251777135	N/A	1.2152333447603776	N/A	0.0	N/A
ENSG00000000419.12	ENST00000494752.1	2.7331623367492988	N/A	3.3982590826712515	N/A	2.15758071072658	N/A
ENSG00000000457.14	ENST00000367771.11	-3.7271964794654897	N/A	-3.389018735260428	N/A	-5.896885389670337	Activated
ENSG00000000460.17	ENST00000286031.10	-4.548244939366311	N/A	-3.593581985758565	N/A	-4.508695526307719	N/A
ENSG00000000938.13	ENST00000475472.5	0.0	N/A	0.0	N/A	0.0	N/A
ENSG00000000971.15	ENST00000630130.2	0.0	N/A	0.0	N/A	-0.20152872522680645	N/A
ENSG00000001036.13	ENST00000451668.1	-0.04291150944166101	N/A	1.125938067459766	N/A	0.8399743090024492	N/A
ENSG00000001167.14	ENST00000341376.10	7.4064228753082375	N/A	7.011373717505085	N/A	8.66256496990701	N/A
ENSG00000001460.18	ENST00000492753.1	0.08797737119794657	Read-In	0.5909500656646971	Read-In	0.5995474155185931	N/A
ENSG00000001461.17	ENST00000488155.1	2.0880611005566765	N/A	1.8424250131974325	N/A	5.706779598103165	N/A
ENSG00000001497.16	ENST00000484069.1	-2.00389531793001	N/A	0.0	N/A	-1.4182843274955532	N/A
ENSG00000001561.7	ENST00000321037.5	0.32273546257677643	N/A	1.3655524543247541	N/A	0.3190203469056008	N/A
ENSG00000001617.12	ENST00000426511.5	-0.48576019273613	N/A	0.6981304058101903	N/A	1.3699803404560935	N/A
ENSG00000001626.15	ENST00000610149.1	-3.876546051881857	N/A	-4.314855641636138	N/A	-6.222135679116308	Activated
ENSG00000001629.10	ENST00000442183.1	7.879191295311575	N/A	8.131386240696811	N/A	8.661132960063616	N/A
ENSG00000001631.15	ENST00000444960.5	2.006646155439606	N/A	0.9165801635321876	N/A	3.1115541136583595	N/A
ENSG00000002330.13	ENST00000493798.1	1.9486555095724047	N/A	1.7729861673311014	Read-In	1.7729327578376344	N/A
ENSG00000002549.12	ENST00000507960.1	-1.789835009104142	N/A	1.69034936880851	N/A	0.5801129931068026	N/A
ENSG00000002586.20	ENST00000647297.1	0.0	N/A	0.0	N/A	0.0	N/A
ENSG00000002586.20_PAR_Y	ENST00000647297.1_PAR_Y	0.0	N/A	0.0	N/A	0.0	N/A
ENSG00000002587.10	ENST00000510712.1	3.9575319589040827	N/A	3.89310365532363	N/A	2.458566128369286	N/A
ENSG00000002726.20	ENST00000493429.5	2.0936684302685995	N/A	-0.2646179697856436	N/A	0.6516149003253029	N/A
ENSG00000002745.13	ENST00000222462.3	-0.6554942827484953	N/A	-2.2265411288504082	N/A	-2.4488846794017407	N/A
ENSG00000002746.15	ENST00000429529.1	-2.7979152334054325	N/A	-0.9654671119156178	N/A	-4.84535260107674	N/A
ENSG00000002834.18	ENST00000579123.1	4.083042356886682	N/A	2.0108698351694905	N/A	4.476017511941434	N/A
ENSG00000002919.14	ENST00000580875.1	5.246688587860927	N/A	5.144124937303311	N/A	7.262475149937877	N/A
ENSG00000002933.9	ENST00000474166.1	1.2901739797149046	N/A	4.234101804819921	N/A	0.0	N/A
ENSG00000003056.8	ENST00000544193.1	-3.3179823085397215	Activated	-3.5588944534439393	Activated	-2.7364018687036307	Activated
ENSG00000003096.14	ENST00000545703.5	-0.18341232542345595	N/A	-0.13969862162010832	N/A	-0.04808500282893672	N/A
ENSG00000003137.8	ENST00000474509.1	0.0	N/A	-1.0984116242333806	N/A	0.0	N/A
