name	Unique Positions	Total Tags
genome	22152558	23693756.0
fragmentLengthEstimate=75		
peakSizeEstimate=75		
tagsPerBP=0.007735		
averageTagsPerPosition=0.655		
medianTagsPerPosition=0		
averageTagLength=68.633		
gsizeEstimate=3063195370		
averageFragmentGCcontent=-1.000		
chr1	2200503	2095856.0
chr2	1710497	1942184.0
chr3	1472483	1314741.0
chr4	955444	806327.0
chr5	1250041	1257858.0
chr6	1183482	1604755.0
chr7	1137091	1162332.0
chr8	878565	771560.0
chr9	824843	772309.0
chr10	1022394	994136.0
chr11	1201907	1538631.0
chr12	1145712	1235858.0
chr13	450212	513916.0
chr14	663617	1368826.0
chr15	754066	909177.0
chr16	890327	810336.0
chr17	1140394	1242306.0
chr18	420389	367935.0
chr19	961810	986595.0
chr20	529330	477019.0
chr21	248596	233805.0
chr22	495028	506435.0
chrX	535480	560388.0
chrY	43990	29274.0
chrM	24285	181118.0
GL000008.2	135	69.0
GL000009.2	159	84.0
GL000194.1	1808	981.0
GL000195.1	1606	854.0
GL000205.2	503	262.0
GL000213.1	2	1.0
GL000216.2	10	5.0
GL000218.1	246	129.0
GL000219.1	2205	1325.0
GL000220.1	73	39.0
GL000221.1	248	126.0
GL000224.1	78	39.0
GL000225.1	26	13.0
KI270302.1	2	1.0
KI270303.1	2	1.0
KI270381.1	6	3.0
KI270382.1	14	7.0
KI270383.1	4	2.0
KI270384.1	6	3.0
KI270385.1	2	1.0
KI270386.1	2	1.0
KI270387.1	2	1.0
KI270388.1	9	5.0
KI270390.1	4	2.0
KI270393.1	2	1.0
KI270395.1	16	8.0
KI270396.1	10	5.0
KI270411.1	2	1.0
KI270438.1	20	10.0
KI270442.1	46	23.0
KI270466.1	23	12.0
KI270467.1	66	34.0
KI270706.1	769	394.0
KI270707.1	26	13.0
KI270708.1	12	6.0
KI270709.1	4	2.0
KI270711.1	279	163.0
KI270712.1	24	12.0
KI270713.1	98	54.0
KI270714.1	16	8.0
KI270715.1	14	7.0
KI270716.1	17	9.0
KI270717.1	12	7.0
KI270718.1	10	5.0
KI270719.1	6	3.0
KI270720.1	8	4.0
KI270721.1	34	17.0
KI270722.1	6	3.0
KI270724.1	6	3.0
KI270727.1	16	8.0
KI270728.1	18	9.0
KI270729.1	12	6.0
KI270731.1	2	1.0
KI270733.1	2208	4660.0
KI270734.1	104	55.0
KI270735.1	2	1.0
KI270736.1	2	1.0
KI270737.1	6	3.0
KI270738.1	70	35.0
KI270741.1	4	2.0
KI270742.1	330	169.0
KI270743.1	69	37.0
KI270744.1	212	122.0
KI270745.1	68	35.0
KI270747.1	255	169.0
KI270748.1	2	1.0
KI270749.1	4	2.0
KI270751.1	2	1.0
KI270752.1	6	3.0
KI270755.1	2	1.0
cmd=makeTagDirectory stranded/ARTDeco_output/preprocess_files/SRR7537190_sorted stranded/bams/artdeco_input/SRR7537190_sorted.bam -sspe		
